pattern_name,category,platform,anatomy,source,url
Checkbox,Input,Android,"Checked/Unchecked/Indeterminate + Label + Optional error state + Custom color",Material Design 3,https://m3.material.io/components/checkbox
Radio Button,Input,Android,"Selected/Unselected + Label + Group behavior + Custom color",Material Design 3,https://m3.material.io/components/radio-button
Switch,Input,Android,"On/Off + Thumb + Track + Optional icons + Custom color",Material Design 3,https://m3.material.io/components/switch
Slider,Input,Android,"Track + Thumb + Optional value label + Discrete or Continuous + Range option",Material Design 3,https://m3.material.io/components/sliders
Segmented Button,Input,Android,"2-5 segments + Selected indicator + Single or Multi-select + Optional checkmark",Material Design 3,https://m3.material.io/components/segmented-buttons
Menu,Navigation/Action,Android,"Vertical list of actions + Optional icons + Dividers + Submenus + Vibrant or Standard color",Material Design 3,https://m3.material.io/components/menus
Context Menu,Interaction,Android,"Long-press trigger + Actions list + Optional icons + Dismissible",Material Design 3,https://m3.material.io/components/menus
Divider,Layout,Android,"Horizontal or Vertical + Inset or Full-width + Optional text + Color (outline/primary)",Material Design 3,https://m3.material.io/components/divider
App Bar,Navigation,Android,"Top bar + Title + Navigation icon + Actions + Optional tabs + Scroll behavior (pinned/collapsing)",Material Design 3,https://m3.material.io/components/app-bars
Toolbar,Navigation/Action,Android,"Flexible component + Buttons + Controls + Can pair with FAB + Top or Bottom placement",Material Design 3,https://m3.material.io/components/toolbars
Bottom Navigation,Navigation,Android,"3-5 destinations + Icons + Labels + Active indicator + Bottom placement (legacy name)",Material Design 3,https://m3.material.io/components/navigation-bar
Navigation Bar (Flexible),Navigation,Android,"Shorter height + Horizontal items in medium windows + Active label secondary color",Material Design 3,https://m3.material.io/components/navigation-bar
Modal Drawer,Navigation,Android,"Overlay + Scrim + List of destinations + Swipe to open/close + Header optional",Material Design 3,https://m3.material.io/components/navigation-drawer
Standard Drawer,Navigation,Android,"Persistent + Side placement + Content pushes + Header + Destinations list",Material Design 3,https://m3.material.io/components/navigation-drawer
Sheet (Bottom),Screen Pattern,Android,"Drag handle + Content + Peek height + Expanded state + Dismissible",Material Design 3,https://m3.material.io/components/bottom-sheets
Sheet (Side),Screen Pattern,Android,"Right edge + Content + Dismissible + Modal or Persistent",Material Design 3,https://m3.material.io/components/side-sheets
Full-screen Dialog,Screen Pattern,Android,"Full screen + Title + Close/Confirm actions + Content + Scrollable",Material Design 3,https://m3.material.io/components/dialogs
Basic Dialog,Screen Pattern,Android,"Centered + Title + Content + 1-2 actions + Scrim + Rounded corners (28dp)",Material Design 3,https://m3.material.io/components/dialogs
Snackbar (with action),Status,Android,"Message + Action button + Bottom + Auto-dismiss or swipe to dismiss",Material Design 3,https://m3.material.io/components/snackbar
Snackbar (persistent),Status,Android,"Message only + Bottom + Remains until action taken + No dismiss",Material Design 3,https://m3.material.io/components/snackbar
Linear Progress,Status,Android,"Horizontal track + Indicator + Determinate or Indeterminate + Optional label",Material Design 3,https://m3.material.io/components/progress-indicators
Circular Progress,Status,Android,"Circular track + Indicator + Determinate or Indeterminate + Optional label",Material Design 3,https://m3.material.io/components/progress-indicators
Onboarding,Screen Pattern,Android,"Welcome screens + Feature highlights + Get Started + Skip option + Illustrations",Material Design 3,https://m3.material.io/foundations/guidelines
Empty State,Screen Pattern,Android,"Icon/illustration + Title + Description + Optional CTA + Centered",Material Design 3,https://m3.material.io/foundations/guidelines
Error State,Screen Pattern,Android,"Error icon + Title + Description + Retry action + Optional details",Material Design 3,https://m3.material.io/foundations/guidelines
Loading State,Screen Pattern,Android,"Skeleton screens + Shimmer effect + Progressive loading + Placeholder shapes",Material Design 3,https://m3.material.io/foundations/guidelines
Pull to Refresh,Interaction,Android,"Swipe down gesture + Refresh indicator + Content reload + Haptic feedback",Material Design 3,https://m3.material.io/foundations/guidelines
Swipe to Dismiss,Interaction,Android,"Swipe gesture + Reveal action + Undo option + List items",Material Design 3,https://m3.material.io/foundations/guidelines
Drag and Drop,Interaction,Android,"Long press + Lift preview + Drop target + Reordering + Visual feedback",Material Design 3,https://m3.material.io/foundations/guidelines
Expandable List Item,List,Android,"Header + Expand icon + Collapsed/Expanded content + Nested items + Animation",Material Design 3,https://m3.material.io/components/lists
Swipeable Card,Content,Android,"Swipe gesture + Reveal actions + Dismiss or Archive + Visual feedback",Material Design 3,https://m3.material.io/components/cards
Image List (Grid),Content,Android,"Grid layout + Images + Optional text overlay + Aspect ratio + Selection",Material Design 3,https://m3.material.io/components/image-lists
Image List (Masonry),Content,Android,"Staggered grid + Variable heights + Images + Optional text + Selection",Material Design 3,https://m3.material.io/components/image-lists
Data Table,Content,Android,"Headers + Rows + Columns + Sorting + Pagination + Selection + Actions",Material Design 3,https://m3.material.io/components/data-tables
Stepper,Input,Android,"Steps + Active step + Completed step + Optional labels + Navigation (Next/Back)",Material Design 3,https://m3.material.io/components/steppers
Bottom Navigation (Legacy),Navigation,Android,"3-5 items + Icons + Labels + Bottom placement + Active state (M2 name)",Material Design 3,https://m3.material.io/components/navigation-bar
Navigation Rail (Expanded),Navigation,Android,"Text labels + Extended FAB + Default or Modal + Side placement",Material Design 3,https://m3.material.io/components/navigation-rail
Navigation Rail (Collapsed),Navigation,Android,"Icons only + FAB + Compact + Side placement + Expand on hover/click",Material Design 3,https://m3.material.io/components/navigation-rail
App Bar (Collapsing),Navigation,Android,"Scroll behavior + Collapse to toolbar + Image header + Parallax + Pin",Material Design 3,https://m3.material.io/components/app-bars
App Bar (Contextual),Navigation,Android,"Selection mode + Action icons + Count + Close button + Replace regular app bar",Material Design 3,https://m3.material.io/components/app-bars
Floating Action Button (Primary),CTA,Android,"Primary color + Main action + Circular + Icon + Shadow (legacy)",Material Design 3,https://m3.material.io/components/floating-action-button
Floating Action Button (Secondary),CTA,Android,"Secondary color + Secondary action + Circular + Icon + Lower emphasis",Material Design 3,https://m3.material.io/components/floating-action-button
Floating Action Button (Tertiary),CTA,Android,"Tertiary color + Tertiary action + Circular + Icon + Lowest emphasis",Material Design 3,https://m3.material.io/components/floating-action-button
Extended FAB (Primary),CTA,Android,"Primary color + Icon + Label + Pill shape + Main action",Material Design 3,https://m3.material.io/components/extended-fab
Extended FAB (Secondary),CTA,Android,"Secondary color + Icon + Label + Pill shape + Secondary action",Material Design 3,https://m3.material.io/components/extended-fab
Button (Elevated),CTA,Android,"Shadow + Background color + Label + Optional icon + Default size",Material Design 3,https://m3.material.io/components/buttons
Button (Filled),CTA,Android,"Container color + Label + Optional icon + Default size + High emphasis",Material Design 3,https://m3.material.io/components/buttons
Button (Tonal),CTA,Android,"Secondary container color + Label + Optional icon + Medium emphasis",Material Design 3,https://m3.material.io/components/buttons
Button (Outlined),CTA,Android,"Outline + Transparent background + Label + Optional icon + Low emphasis",Material Design 3,https://m3.material.io/components/buttons
Button (Text),CTA,Android,"No container + Label + Optional icon + Lowest emphasis + Inline",Material Design 3,https://m3.material.io/components/buttons
Text Field (Filled),Input,Android,"Filled background + Label + Placeholder + Input + Icons + Helper/Error text",Material Design 3,https://m3.material.io/components/text-fields
Text Field (Outlined),Input,Android,"Outline border + Label + Placeholder + Input + Icons + Helper/Error text",Material Design 3,https://m3.material.io/components/text-fields
Text Field (Plain),Input,Android,"No background/border + Label + Placeholder + Input + Icons + Minimal",Material Design 3,https://m3.material.io/components/text-fields
Autocomplete,Input,Android,"Text field + Dropdown suggestions + Selection + Filter + Optional icons",Material Design 3,https://m3.material.io/components/text-fields
Dropdown Menu,Input,Android,"Text field + Dropdown arrow + Options list + Selection + Optional search",Material Design 3,https://m3.material.io/components/menus
Exposed Dropdown Menu,Input,Android,"Editable text field + Dropdown + Options + Selection + Filter",Material Design 3,https://m3.material.io/components/menus
Chip Group,Content/Input,Android,"Multiple chips + Horizontal scroll + Selection + Filter + Input",Material Design 3,https://m3.material.io/components/chips
Assist Chip,Content/Input,Android,"Icon + Label + Smart action + Cross-app functionality + Tap to execute",Material Design 3,https://m3.material.io/components/chips
Filter Chip,Content/Input,Android,"Tag + Checkmark + Filter content + Toggle selection + Multiple select",Material Design 3,https://m3.material.io/components/chips
Input Chip,Content/Input,Android,"User-entered info + Close icon + Discrete info + Contact/tag + Removable",Material Design 3,https://m3.material.io/components/chips
Suggestion Chip,Content/Input,Android,"Dynamic suggestion + Label + Tap to apply + Search filter + Generated",Material Design 3,https://m3.material.io/components/chips
Rich Tooltip,Status,Android,"Icon + Title + Description + Action + Arrow + Persistent + Dismissible",Material Design 3,https://m3.material.io/components/tooltips
Plain Tooltip,Status,Android,"Text only + Brief + Arrow + Auto-dismiss + Hover/Focus trigger",Material Design 3,https://m3.material.io/components/tooltips
Banner (Single line),Status,Android,"Icon + Text + 1 action + Top + Compact + Dismissible",Material Design 3,https://m3.material.io/components/banners
Banner (Multi-line),Status,Android,"Icon + Text + 2 actions + Top + Expanded + Dismissible",Material Design 3,https://m3.material.io/components/banners
Settings Screen,Screen Pattern,Android,"List items + Toggles + Dividers + Categories + Navigation to sub-screens",Material Design 3,https://m3.material.io/foundations/guidelines
Search Screen,Screen Pattern,Android,"Search bar + Recent searches + Suggestions + Results list + Filters",Material Design 3,https://m3.material.io/components/search
Profile Screen,Screen Pattern,Android,"Avatar + Name + Info + Actions + Stats + Social links + Edit option",Material Design 3,https://m3.material.io/foundations/guidelines
Home Screen,Screen Pattern,Android,"Greeting + Quick actions + Content cards + FAB + Bottom navigation",Material Design 3,https://m3.material.io/foundations/guidelines
Detail Screen,Screen Pattern,Android,"Hero image + Title + Description + Actions + Related content + Back button",Material Design 3,https://m3.material.io/foundations/guidelines
Form Screen,Screen Pattern,Android,"Multiple input fields + Validation + Submit button + Progress indicator + Sections",Material Design 3,https://m3.material.io/foundations/guidelines
Confirmation Screen,Screen Pattern,Android,"Success/Error icon + Message + Details + Primary action + Secondary action",Material Design 3,https://m3.material.io/foundations/guidelines
Permission Request,Screen Pattern,Android,"Icon + Title + Description + Allow/Deny + Optional 'Don't ask again'",Material Design 3,https://m3.material.io/foundations/guidelines
Rate App Dialog,Screen Pattern,Android,"Star rating + Comment field + Submit + Later + Never",Material Design 3,https://m3.material.io/foundations/guidelines
Share Sheet,Interaction,Android,"App icons + Recent contacts + Copy link + Actions + Preview + Scrollable",Material Design 3,https://m3.material.io/foundations/guidelines
Notification,Status,Android,"Icon + Title + Message + Actions + Timestamp + Expandable + Dismiss",Material Design 3,https://m3.material.io/foundations/guidelines
Quick Settings Tile,Quick Actions,Android,"Icon + Label + Toggle state + System panel + Customizable",Material Design 3,https://m3.material.io/foundations/guidelines
Widget (Home Screen),Status,Android,"Small/Medium/Large + Glanceable info + Tap to open + Update + Resizable",Material Design 3,https://m3.material.io/foundations/guidelines
Adaptive Icon,Branding,Android,"Foreground + Background + Masked shape + Dynamic color + Animated",Material Design 3,https://m3.material.io/foundations/guidelines
Splash Screen,Branding,Android,"App icon + Background + Brand color + Brief display + Transition to app",Material Design 3,https://m3.material.io/foundations/guidelines
Dynamic Color,Branding,Android,"Wallpaper-derived palette + Primary/Secondary/Tertiary + Accessible + Applied to UI",Material Design 3,https://m3.material.io/foundations/guidelines
Dark Theme,Branding,Android,"Dark background + Light text + Reduced brightness + OLED black + Toggle",Material Design 3,https://m3.material.io/foundations/guidelines
Light Theme,Branding,Android,"Light background + Dark text + Standard brightness + Toggle + Default",Material Design 3,https://m3.material.io/foundations/guidelines
High Contrast Theme,Accessibility,Android,"Maximum contrast + Bold text + Large text + Color inversion + System setting",Material Design 3,https://m3.material.io/foundations/guidelines
TalkBack,Accessibility,Android,"Screen reader + Gestures + Focus + Audio descriptions + Navigation",Material Design 3,https://m3.material.io/foundations/guidelines
Switch Access,Accessibility,Android,"Scanning + Selection + Action + Switch control + Customizable",Material Design 3,https://m3.material.io/foundations/guidelines
Magnification,Accessibility,Android,"Zoom + Pan + Triple-tap + Window or full-screen + System setting",Material Design 3,https://m3.material.io/foundations/guidelines
Large Text,Accessibility,Android,"Scalable fonts + Layout adaptation + Content preservation + System setting",Material Design 3,https://m3.material.io/foundations/guidelines
Reduce Motion,Accessibility,Android,"Minimized animations + Crossfades + Static alternatives + System setting",Material Design 3,https://m3.material.io/foundations/guidelines
Haptic Feedback,Feedback,Android,"Touch response + Vibration + Impact + Notification + Selection + Customizable",Material Design 3,https://m3.material.io/foundations/guidelines
Sound Feedback,Feedback,Android,"Touch sounds + Audio cues + Volume control + Customizable + Accessibility",Material Design 3,https://m3.material.io/foundations/guidelines
Visual Feedback,Feedback,Android,"Ripple effect + State change + Animation + Color change + Focus indicator",Material Design 3,https://m3.material.io/foundations/guidelines
Gesture Navigation,Navigation,Android,"Swipe from edges + Back gesture + Home gesture + Overview + Pill indicator",Material Design 3,https://m3.material.io/foundations/guidelines
Three-button Navigation,Navigation,Android,"Back + Home + Overview buttons + Bottom placement + Legacy option",Material Design 3,https://m3.material.io/foundations/guidelines
Edge-to-Edge Display,Layout,Android,"Content extends to edges + System bars transparent + Immersive + Insets handling",Material Design 3,https://m3.material.io/foundations/guidelines
Window Insets,Layout,Android,"System bars + Keyboard + Gestures + Safe areas + Layout adjustment",Material Design 3,https://m3.material.io/foundations/guidelines
Foldable Adaptation,Layout,Android,"Dual-screen + Fold + Posture + Continuity + App continuity + Multi-window",Material Design 3,https://m3.material.io/foundations/guidelines
Large Screen Adaptation,Layout,Android,"Tablet + Desktop + Two-pane + List-detail + Navigation rail + Responsive",Material Design 3,https://m3.material.io/foundations/guidelines
Density Independence,Layout,Android,"dp units + Scale-independent pixels + Resource qualifiers + Multiple densities",Material Design 3,https://m3.material.io/foundations/guidelines
Responsive Layout,Layout,Android,"Breakpoints + Window size classes + Compact/Medium/Expanded + Adaptive UI",Material Design 3,https://m3.material.io/foundations/guidelines
Grid System,Layout,Android,"Columns + Gutters + Margins + 12-column grid + Responsive + Alignment",Material Design 3,https://m3.material.io/foundations/guidelines
Elevation,Layout,Android,"Shadows + Z-axis + Depth + Hierarchy + Overlap + Material metaphor",Material Design 3,https://m3.material.io/foundations/guidelines
Motion,Interaction,Android,"Transitions + Animations + Duration + Easing + Physics-based + Expressive",Material Design 3,https://m3.material.io/foundations/guidelines
Shared Element Transition,Interaction,Android,"Element morphs + Cross-fade + Container transform + Fade through + Fade",Material Design 3,https://m3.material.io/foundations/guidelines
Container Transform,Interaction,Android,"View expands + Morphs + Shared element + Hero animation + Transition",Material Design 3,https://m3.material.io/foundations/guidelines
Fade Through,Interaction,Android,"Cross-fade + Scale + Content replacement + Subtle + Navigation",Material Design 3,https://m3.material.io/foundations/guidelines
Fade,Interaction,Android,"Opacity change + Simple + Enter/Exit + Subtle + Default transition",Material Design 3,https://m3.material.io/foundations/guidelines
Scale,Interaction,Android,"Size change + Grow/Shrink + Emphasis + Enter/Exit + Animation",Material Design 3,https://m3.material.io/foundations/guidelines
Slide,Interaction,Android,"Directional movement + Enter/Exit + Horizontal/Vertical + Navigation + Gesture",Material Design 3,https://m3.material.io/foundations/guidelines
Choreography,Interaction,Android,"Staggered animations + Sequential + Grouped elements + Direction + Delay",Material Design 3,https://m3.material.io/foundations/guidelines
Ripple,Interaction,Android,"Touch feedback + Circular expansion + Color + Opacity + Boundaries",Material Design 3,https://m3.material.io/foundations/guidelines
State Layer,Interaction,Android,"Hover + Pressed + Dragged + Focused + Opacity + Color + Overlay",Material Design 3,https://m3.material.io/foundations/guidelines
Focus Indicator,Accessibility,Android,"Outline + Color + Thickness + Visibility + Keyboard navigation + High contrast",Material Design 3,https://m3.material.io/foundations/guidelines
Touch Target,Accessibility,Android,"Minimum 48dp + Spacing + Visibility + Finger-friendly + Comfortable",Material Design 3,https://m3.material.io/foundations/guidelines
Color Contrast,Accessibility,Android,"Minimum ratios + WCAG + Text/Background + Icons + Dynamic color + Testing",Material Design 3,https://m3.material.io/foundations/guidelines
Color Role,Branding,Android,"Primary + Secondary + Tertiary + Error + Neutral + Surface + Background + On-colors",Material Design 3,https://m3.material.io/foundations/guidelines
Typography Scale,Branding,Android,"Display + Headline + Title + Body + Label + Sizes + Weights + Line heights",Material Design 3,https://m3.material.io/foundations/guidelines
Shape Scale,Branding,Android,"Small + Medium + Large + Full + Component-specific + Rounded corners + Cut corners",Material Design 3,https://m3.material.io/foundations/guidelines
Iconography,Branding,Android,"Filled + Outlined + Rounded + Sharp + Two-tone + Sizes + Color + Accessibility",Material Design 3,https://m3.material.io/foundations/guidelines
Spacing Scale,Branding,Android,"4dp base + 8dp + 16dp + 24dp + 32dp + 48dp + 64dp + Consistent rhythm",Material Design 3,https://m3.material.io/foundations/guidelines
Corner Radius,Branding,Android,"0dp + 4dp + 8dp + 12dp + 16dp + 24dp + 28dp + Full + Component-specific",Material Design 3,https://m3.material.io/foundations/guidelines
Shadow,Branding,Android,"Ambient + Spot + Elevation levels + Color + Opacity + Blur + Material metaphor",Material Design 3,https://m3.material.io/foundations/guidelines
Surface,Branding,Android,"Background color + Elevation + Shadow + Overlay + Tint + Material layers",Material Design 3,https://m3.material.io/foundations/guidelines
Outline,Branding,Android,"Border color + Width + Shape + Container + Emphasis + Accessibility",Material Design 3,https://m3.material.io/foundations/guidelines
Scrim,Branding,Android,"Overlay + Opacity + Dark + Modal + Focus + Dismissible + Behind dialogs/sheets",Material Design 3,https://m3.material.io/foundations/guidelines
